Code tiers bénéficiaire;Nom bénéficiaire;Montant versé;Type subvention
21887;CENTRE DE RESSOURCES SUR LA NON VIOLENCE ASSOC;5000.0;Fonctionnement
49721;MAGUY MARIN CIE ASSOC;121000.0;Fonctionnement
34662;TOULOUSE IRON CLUB;40000.0;Fonctionnement
23365;SEMANTIC SLAM ASSOC;2000.0;Fonctionnement
2103;ASCM SPORTIVE ET CULTURELLE DE MONTAUDRAN ASSOC;59600.0;Fonctionnement
11188;FOLIES FORMATION LOCALE ET INTERNATIONALE A L ECO SOLIDAIRE ASSOC;85000.0;Fonctionnement
14447;LES AMIES DE LA MATERNELLE JULES JULIEN ASSOC;51894.01;Fonctionnement
14273;JEUNE ENTENTE TOULOUSAINE ASSOC;20000.0;Fonctionnement
18705;NATURE MIDI PYRENEES ASSOC;12000.0;Fonctionnement
6623;CHOEUR FRANCOSLAVE DE TOULOUSE;1500.0;Fonctionnement
1225;CLUB AMITIES LOISIRS AINES PONT DES DEMOISELLES;750.0;Fonctionnement
57290;CLUB SAINT REMESY;550.0;Fonctionnement
18607;MYCOLOGIQUE DE TOULOUSE ASSOC;2000.0;Fonctionnement
64968;LOH PROD ASSOC;1500.0;Fonctionnement
40541;L USINE ASSOC;19200.0;Fonctionnement
10371;ET QUI LIBRE MARIONNETTISSIMO;11000.0;Fonctionnement
26135;COLLEGE VAUQUELIN;5484.0;Fonctionnement
54589;DADADZO COMPAGNIE ASSOC;1500.0;Fonctionnement
63585;CARILLONS EN PAYS D OC ASSOC;1000.0;Fonctionnement
47349;ARTISTES DU MONDE ARABE ASSOC;8000.0;Fonctionnement
7286;CONFED NAT LOGEMENT FED 31;6000.0;Fonctionnement
2118;SOCIO EDUCATIVE DE TOULOUSE EST ASSOC;1000.0;Fonctionnement
65687;GAIA IEP ASSOC;1400.0;Fonctionnement
43044;AMICALE DES ANCIENS COMBATTANTS ET VICTIMES CIVILES DU MAQUIS ST LYS;160.0;Fonctionnement
24010;SOLAFRIKA ASSOC;4000.0;Fonctionnement
23163;PLANETE SCIENCES ASSOC;13000.0;Fonctionnement
41418;LA GRAINERIE ASSOC;32900.0;Fonctionnement
58485;ANIM MALICE ASSOC;681642.9;Fonctionnement
24841;FESTIVAL INTERNATIONAL DE TANGO DE TOULOUSE;37000.0;Fonctionnement
7752;CREPT CENTRE REGIONAL ETUDES ET PROMOTION DU TRAVAIL;9900.0;Fonctionnement
9289;DRUMS SUMMIT;5000.0;Fonctionnement
37907;GRISELIDIS ASSOC;31500.0;Fonctionnement
9963;EMPALOT SERVICES PLUS REGIE DE QUARTIER;106400.0;Fonctionnement
23050;PROTECTION ENFANCE ET ADOLESCENCE ASSOC;7000.0;Fonctionnement
20235;CRECHE LES PETITS GALOPINS ASSOC;93236.0;Fonctionnement
19972;CERCLE PECH DAVID ASSOC;34200.62;Fonctionnement
19541;SOLIHA HAUTE GARONNE;356093.51;Investissement
24936;TA ASSOC;5000.0;Fonctionnement
51400;CENTRE REGIONAL D EDUCATION ET DE SERVICES POUR L AUTISME ASSOC;25000.0;Investissement
11408;FRACTAL ASSOC;3000.0;Fonctionnement
19341;ORGETCOM ASSOC;3500.0;Fonctionnement
19759;PAR HAZ ART ASSOC;8000.0;Fonctionnement
1221;LES AMIS DE MONSIEUR ASSOC;8000.0;Fonctionnement
51578;AVENIR SANTE ASSOC;14000.0;Fonctionnement
8166;JEUNES DANSEURS ASSOC;2500.0;Fonctionnement
19699;COMITE DE QUARTIER PAPUS TABAR BORDELONGUE;1500.0;Fonctionnement
45708;ADEL CAFE SOCIAL ASSOC;5000.0;Fonctionnement
46386;FRITURE EDITIONS ASSOC;4000.0;Fonctionnement
6221;UNION DEP SYND CFTC DE HAUTE GARONNE;600.0;Fonctionnement
5125;CTRE D ACCUEIL D ENFANTS DE TOULOUSE ASSOC;123755.88;Fonctionnement
14485;COMMUNE DE JURVIELLE;500.0;Fonctionnement
56624;INPACTS ASSOC;4000.0;Fonctionnement
6224;CGC UNION DEPARTEMENTALE CFE;600.0;Fonctionnement
6112;CENTRE POLYVALENT JEAN RIEUX CRECHE HALTE GARDERIE ASSOC;204131.82;Fonctionnement
4;CCAS DE TOULOUSE;16233114.0;Fonctionnement
24060;SOLIDARITE FAMILIALE ASSOC;5000.0;Fonctionnement
462;POUR LA FORMATION ET AIDE A LA COMMUNICATION AFAC ASSOC;2800.0;Fonctionnement
20864;COLLECTIF DES ASS DES PRADETTES;11600.0;Fonctionnement
20834;COMITE DES SPORTS ET LOISIRS DE POUVOURVILLE;18000.0;Fonctionnement
24952;TCMS TOULOUSE CHEMINOTS MARENGO SPORT ASSOC;35000.0;Fonctionnement
25397;TOAC  TENNIS DE TABLE ASSOC;6000.0;Fonctionnement
14713;KIRIKOU EVENEMENT;7000.0;Fonctionnement
3233;BEBES DAUPHINS TOULOUSAINS ASSOC;2000.0;Fonctionnement
12745;CRECHE GRIBOUILLE;242528.0;Fonctionnement
