Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Fonctionnement;46704;FILM RECHERCHE DEVELOPPEMENT DURABLE;6000.0
Fonctionnement;76427;PROMOUVOIR LES ARTS EN SYNERGIE AVEC LES MUSIQUES ACTUELLES ASSOC;1600.0
Fonctionnement;39725;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;316451.0
Fonctionnement;15480;COLLEGE TOULOUSE LAUTREC;6665.0
Investissement;23834;SM LES ABATTOIRS;97500.0
Fonctionnement;62107;TMB TOULOUSE METROPOLE BASKET SAS;609000.0
Fonctionnement;16333;CRECHE LES PTITS LOUPS;179300.0
Fonctionnement;959;ALLIANCES ET CULTURES ASSOC;500904.18
Fonctionnement;20349;PIANO AUX JACOBINS ASSOC;70000.0
Fonctionnement;6142;CERCLE LAIQUE ERNEST RENAN ASSOC;128098.55
Fonctionnement;7611;COLLECTIF AEPS COURREGE ASSOC;199922.94
Fonctionnement;7804;CROIX ROUGE FRANCAISE ASSOC;140413.8
Fonctionnement;1225;CLUB AMITIES LOISIRS AINES PONT DES DEMOISELLES;750.0
Fonctionnement;46995;FOYER 3IEME AGE EMPALOT DASTE;800.0
Fonctionnement;68735;EN ATTENDANT LES ELEPHANTS;3500.0
Fonctionnement;25141;CYCLO CLUB LARDENNE SUD;500.0
Fonctionnement;179;ACCOMIP ASSOC;25000.0
Fonctionnement;7728;CREATURE ASSOC;8600.0
Fonctionnement;4702;TOULOUSE B BOYING CLUB ASSOC;4800.0
Fonctionnement;14070;SOCIO EDUCATIVE DES QUARTIERS NORD ASSOC;24650.0
Fonctionnement;1415;ANIMATION BAS D IMMEUBLES ASSOC;110782.5
Fonctionnement;39260;LES PETITS DEBROUILLARDS MIDI PY ASSOC;47000.0
Fonctionnement;24678;O COMME 3 MOMES;289817.28
Fonctionnement;5457;CRECHE LE CAPPE;132704.0
Fonctionnement;18002;MJC CROIX DAURADE ASSOC;106300.0
Investissement;16840;MAPCU MOUVEMENT ASSOC POUR LES CULTURES URBAINES ASSOC;16000.0
Fonctionnement;43200;AMICALE NATIONALE DES ANCIENS ET ANCIENS COMBATTANTS DU GRAND 14 ASSOC;270.0
Fonctionnement;54650;CRESUS TOULOUSE;500.0
Fonctionnement;21888;RESTAURANT DU COEUR LES RELAIS DU COEUR ASSOC;10000.0
Fonctionnement;47881;CLUB DES VIOLETTES DE LALANDE;800.0
Fonctionnement;46983;AMPAR 31 ASS MIDI-PYRENEES DES ARTISANS RETRAITES ASSOC;620.0
Fonctionnement;46986;CLUB SAINT AGNE DU 3IEME AGE;600.0
Fonctionnement;7691;CONSEIL REPRESENTATIF ASS NOIRES MIDI PYRENEES CRAN;11000.0
Fonctionnement;66056;MIRAILLEMENT GRAND ASSOC;400.0
Fonctionnement;2102;SPORTIVE GYMNASTE CULTURISME IZARDS ASSOC;4400.0
Fonctionnement;17443;MEDIA  PITCHOUNES ASSOC;6800.0
Fonctionnement;10057;ENTREZ SANS FRAPPER;3000.0
Fonctionnement;11598;FRMJC FEDERATION REGIONALE MJC;112084.0
Fonctionnement;76587;APARTE - SCIENCES PO TOULOUSE ASSOC;619.0
Fonctionnement;21123;PSYCHOLOGUES DU MONDE ASSOC;6000.0
Fonctionnement;21936;REYNERIE SERVICES ASSOC;40400.0
Fonctionnement;51556;FA SOL MI LA FABRIQUE SOLIDAIRE DES MINIMES MAISON DES CHOMEURS ASSOC;22600.0
Fonctionnement;7205;LA PETITE ASSOC;29700.0
Fonctionnement;49641;PRISES RAPIDES ASSOC;3000.0
Fonctionnement;13946;INTERNOTES ASSOC;5000.0
Fonctionnement;26192;LES PRODUCTIONS DU VENDREDI ASSOC;9500.0
Fonctionnement;45742;L AIRE DES MOTS ASSOC;1400.0
Fonctionnement;73679;MIEUX ENSEMBLE ASSOC;1000.0
Fonctionnement;267;COLLECTIF URGENCE D ACTEURS CULTURELS;22500.0
Fonctionnement;7758;CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC;5500.0
Fonctionnement;46370;UNIVERSITE TOULOUSE 2 TOULOUSE LE MIRAIL;34500.0
Fonctionnement;7487;COSAT COMITE OEUVRE SOCIALE AGENTS DE LA VILLE DE TOULOUSE;3424798.67
Fonctionnement;10668;CRECHE PARENTALE LA FARANDOLE;73216.0
Fonctionnement;21264;LA QUADRATURE DU CERCLE CERCLE DES CULOTTES COURTES ASSOC;280573.3
