nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;SOLIHA HAUTE GARONNE;77695150100043;Subvention d'équipement;378251.02;aide en numéraire;échelonné;2017-12-07;;non;1
Ville de Toulouse;21310555400017;;;SONGE D UNE NUIT D EPEE;79515513400021;Subvention de Fonctionnement;2255.0;aide en numéraire;unique;2017-10-10;;non;1
Ville de Toulouse;21310555400017;;;SPORTS QUILLES DE HUIT DE L AMICALE AVEYRONNAISE DE TOULOUSE ASSOC;43459595500015;Subvention de Fonctionnement;800.0;aide en numéraire;unique;2017-01-17;;non;1
Ville de Toulouse;21310555400017;;;SYNDICAT DES TERRITORIAUX SNIAT;;Subvention de Fonctionnement;301.6;aide en numéraire;unique;2017-12-13;;non;1
Ville de Toulouse;21310555400017;;;SYNDICAT FGTA FO;78457821300026;Subvention de Fonctionnement;2557.19;aide en numéraire;unique;2017-12-13;;non;1
Ville de Toulouse;21310555400017;;;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;;Subvention de Fonctionnement;998.55;aide en numéraire;unique;2017-12-13;;non;1
Ville de Toulouse;21310555400017;;;SYNDICAT UECT UNSA UNION EMPLOYE;;Subvention de Fonctionnement;2386.95;aide en numéraire;unique;2017-12-13;;non;1
Ville de Toulouse;21310555400017;;;TAC TENNIS DE TABLE ASSOC;44100303500017;Subvention de Fonctionnement;4350.0;aide en numéraire;unique;2017-01-17;;non;1
Ville de Toulouse;21310555400017;;;TCMS TOULOUSE CHEMINOTS MARENGO SPORT ASSOC;34918328500031;Subvention de Fonctionnement;32790.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;TENDRES CALINS ASSOC;39230731000020;Subvention de Fonctionnement;82561.0;aide en numéraire;échelonné;2017-09-29;;non;1
Ville de Toulouse;21310555400017;;;TFC TOULOUSE FOOTBALL CLUB SASP;43895899300018;Subvention de Fonctionnement;801700.0;aide en numéraire;unique;2017-01-26;;non;1
Ville de Toulouse;21310555400017;;;THEATRE LE VENT DES SIGNES ASSOC;39316355500039;Subvention de Fonctionnement;48448.0;aide en numéraire;échelonné;2017-05-04;;non;1
Ville de Toulouse;21310555400017;;;TOAC TUC VOLLEY BALL ASSOC;39277127500022;Subvention de Fonctionnement;655440.0;aide en numéraire;échelonné;2017-12-18;;non;1
Ville de Toulouse;21310555400017;;;TOPOPHONE ASSOC;75339292700020;Subvention de Fonctionnement;9200.0;aide en numéraire;échelonné;2017-10-10;;non;1
Ville de Toulouse;21310555400017;;;TOULOUSE ATHLETIC CLUB NATATION;44135728200017;Subvention de Fonctionnement;8500.0;aide en numéraire;unique;2017-02-13;;non;1
Ville de Toulouse;21310555400017;;;TOULOUSE FOOTBALL CECIFOOT;81475755500010;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2017-10-27;;non;1
Ville de Toulouse;21310555400017;;;TOULOUSE OLYMPIQUE XIII ASSOC;39177735600018;Subvention de Fonctionnement;67000.0;aide en numéraire;unique;2017-02-13;;non;1
Ville de Toulouse;21310555400017;;;TOULOUSE OLYMPIQUE XIII ASSOC;39177735600018;Subvention d'équipement;55000.0;aide en numéraire;unique;2017-07-21;;non;1
Ville de Toulouse;21310555400017;;;TOULOUSE UNIVERSITE CLUB;40320094200015;Subvention de Fonctionnement;7800.0;aide en numéraire;échelonné;2017-07-07;;non;1
Ville de Toulouse;21310555400017;;;TRAJECTOIRE ASSOC;41878170400014;Subvention de Fonctionnement;12480.0;aide en numéraire;unique;2017-07-31;;non;1
Ville de Toulouse;21310555400017;;;TROMBONE ASSOC;44200396800041;Subvention de Fonctionnement;7000.0;aide en numéraire;unique;2017-04-20;;non;1
Ville de Toulouse;21310555400017;;;TUC TRIATHLON ASSOC;48057795600018;Subvention de Fonctionnement;7000.0;aide en numéraire;unique;2017-02-13;;non;1
Ville de Toulouse;21310555400017;;;UN ENFANT DES PARRAINS ASSOC;53012617600029;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2017-07-21;;non;1
Ville de Toulouse;21310555400017;;;UNION DEP CONSOMMATION LOGEMENT ET CADRE DE VIE CLCV31 ASSOC;42443966900047;Subvention de Fonctionnement;8900.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;UNIVERSCENES ASSOC;49943169000019;Subvention de Fonctionnement;6634.0;aide en numéraire;échelonné;2017-04-14;;non;1
Ville de Toulouse;21310555400017;;;UNIVERS MONTAGNE ESPRIT NATURE ASSOC;43800025900038;Subvention d'équipement;1000.0;aide en numéraire;unique;2017-10-27;;non;1
Ville de Toulouse;21310555400017;;;UN PAVE DANS LE JAZZ ASSOC;44523215000034;Subvention de Fonctionnement;13200.0;aide en numéraire;unique;2017-08-03;;non;1
Ville de Toulouse;21310555400017;;;220 VOLS;82327770200010;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2017-08-04;;non;1
Ville de Toulouse;21310555400017;;;3IT;51842521000037;Subvention d'équipement;11430.94;aide en numéraire;unique;2017-06-15;;non;1
Ville de Toulouse;21310555400017;;;AAT ADDICTIONS ACCUEIL THERAPEUTIQUE ASSOC;34048380900059;Subvention de Fonctionnement;5700.0;aide en numéraire;unique;2017-03-23;;non;1
Ville de Toulouse;21310555400017;;;ACADEMIE DES JEUX FLORAUX ASSOC;77694661800019;Subvention de Fonctionnement;4500.0;aide en numéraire;unique;2017-07-26;;non;1
Ville de Toulouse;21310555400017;;;ACCUEIL LOISIRS RANDO ASSOC;49801567600014;Subvention de Fonctionnement;600.0;aide en numéraire;unique;2017-07-10;;non;1
Ville de Toulouse;21310555400017;;;ACCUEILS DE LOISIRS SAINT JOSEPH LA SALLE;83044948400013;Subvention de Fonctionnement;59640.0;aide en numéraire;unique;2017-09-04;;non;1
Ville de Toulouse;21310555400017;;;A COTE;53862153300016;Subvention de Fonctionnement;8300.0;aide en numéraire;unique;2017-04-11;;non;1
Ville de Toulouse;21310555400017;;;A CROQUER;82953728100018;Subvention de Fonctionnement;7680.0;aide en numéraire;unique;2017-06-19;;non;1
Ville de Toulouse;21310555400017;;;ACROSTICHES ET COMPAGNIE ASSOC;42301795300013;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2017-11-09;;non;1
Ville de Toulouse;21310555400017;;;ACT UP SUD OUEST;40353906700054;Subvention de Fonctionnement;12800.0;aide en numéraire;échelonné;2017-12-22;;non;1
Ville de Toulouse;21310555400017;;;ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC;35221687301565;Subvention de Fonctionnement;35000.0;aide en numéraire;unique;2017-04-13;;non;1
Ville de Toulouse;21310555400017;;;AGGLO PRODUCTION ASSOC;52784479900017;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2017-07-26;;non;1
Ville de Toulouse;21310555400017;;;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;37782452900038;Subvention de Fonctionnement;40310.0;aide en numéraire;échelonné;2017-09-29;;non;1
Ville de Toulouse;21310555400017;;;AGORA;39427064900020;Subvention de Fonctionnement;32000.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;AHI NO MAS;79410472900023;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2017-08-08;;non;1
Ville de Toulouse;21310555400017;;;AIDE AUX AIDANTS DES MALADES D ALZHEIMER TOULOUSE LIMAYRAC;80961789700024;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2017-12-22;;non;1
Ville de Toulouse;21310555400017;;;ALLO BERNARD;82198908400016;Subvention de Fonctionnement;4000.0;aide en numéraire;échelonné;2017-10-24;;non;1
Ville de Toulouse;21310555400017;;;ALTER IMAGE ASSOC;48440487600068;Subvention de Fonctionnement;4500.0;aide en numéraire;échelonné;2017-12-20;;non;1
Ville de Toulouse;21310555400017;;;AMICALE 31 DE L ISICA ASSOC;75261019600012;Subvention de Fonctionnement;400.0;aide en numéraire;unique;2017-07-10;;non;1
Ville de Toulouse;21310555400017;;;AMICALE D ANCELY ASSOC;75161396900011;Subvention de Fonctionnement;1200.0;aide en numéraire;unique;2017-07-07;;non;1
Ville de Toulouse;21310555400017;;;AMISPLEGIQUES ASSOC;53336502900016;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2017-10-27;;non;1
Ville de Toulouse;21310555400017;;;ANIMACAO ASSOC;40173822400047;Subvention de Fonctionnement;2200.0;aide en numéraire;unique;2017-09-29;;non;1
