Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;N° SIRET;Type bénéficiaire;Montant versé en 2016
Fonctionnement;19419;LE GRAND OS ASSOC;41161474600047;Personne morale de droit privé;2500.0
Fonctionnement;19;AAT ADDICTIONS ACCUEIL THERAPEUTIQUE ASSOC;34048380900059;Personne morale de droit privé;6000.0
Fonctionnement;295;ACT UP SUD OUEST;40353906700054;Personne morale de droit privé;46100.0
Fonctionnement;339;ADEC NS ASSOC;47781790200018;Personne morale de droit privé;1700.0
Fonctionnement;351;ASSOCIATION ADENS;50966703600024;Personne morale de droit privé;7600.0
Fonctionnement;462;POUR LA FORMATION ET AIDE A LA COMMUNICATION AFAC ASSOC;48443517700015;Personne morale de droit privé;2600.0
Fonctionnement;699;CLUB DES AINES DES PRADETTES;41392818500011;Personne morale de droit privé;550.0
Fonctionnement;1250;CLUB INTER AGE ROSERAIE AMOUROUX;37885834400013;Personne morale de droit privé;800.0
Fonctionnement;1321;CRECHE AND DO ASSOC;41537139200036;Personne morale de droit privé;189781.2
Fonctionnement;1415;ANIMATION BAS D IMMEUBLES ASSOC;38386627400012;Personne morale de droit privé;119042.5
Fonctionnement;1416;CLUB ANIMATION 3EME AGE ST SIMON;48171703100019;Personne morale de droit privé;610.0
Fonctionnement;1552;GROUPE DES APHASIQUES TCHATCHEUR ASSOC;48288514200018;Personne morale de droit privé;1450.0
Fonctionnement;1685;ARC EN CIEL TOULOUSE ASSOC;49803966800013;Personne morale de droit privé;9600.0
Fonctionnement;2033;ART REVES ACTION ARA ASSOC;43155328800033;Personne morale de droit privé;20640.0
Fonctionnement;2042;LES ARTS RENAISSANTS;33141787300048;Personne morale de droit privé;52800.0
Fonctionnement;2193;SPORTIVE TOULOUSE LARDENNE ASSOC;40223217700012;Personne morale de droit privé;18300.0
Fonctionnement;2728;BAGDAM ESPACE LESBIEN ASSOC;38183310200035;Personne morale de droit privé;6200.0
Fonctionnement;2827;BALMA ST EXUPERY 31 ASSOC;30112719700012;Personne morale de droit privé;14500.0
Fonctionnement;2951;LA BARQUE ASSOC;49468565400019;Personne morale de droit privé;1500.0
Fonctionnement;3347;COLLEGE BELLEFONTAINE;19311235600012;Personne morale de droit public;8605.0
Fonctionnement;3351;CERCLE BELLEGARDE ASSOC;39313621300013;Personne morale de droit privé;680.0
Fonctionnement;3833;BOULES IZARDS CLUB ASSOC;44465914800019;Personne morale de droit privé;1000.0
Fonctionnement;4035;CLUB 3E AGE LES BLEUETS BONNEFOY;51332848400011;Personne morale de droit privé;550.0
Fonctionnement;5173;CALANDRETA TOLZANA COSTA PAVADA ASSOC;32234492000051;Personne morale de droit privé;101000.06
Fonctionnement;5390;CANTO LAOUZETTO ASSOC;47962569100023;Personne morale de droit privé;500.0
Fonctionnement;5991;COLL CONTRE NUISANCES AERIENNES TOULOUSE ASSOC;43942682600012;Personne morale de droit privé;900.0
Fonctionnement;6000;CENTRE DE DEVELOPPEMENT CHOREGRAPHIQUE TOULOUSAIN ASSOC;40369858200026;Personne morale de droit privé;331680.0
Fonctionnement;6122;CENTRE TECHNIQUE REGIONAL CONSOMMATION ASSOC;77695217800049;Personne morale de droit privé;4500.0
Fonctionnement;6142;CERCLE LAIQUE ERNEST RENAN ASSOC;38434114500017;Personne morale de droit privé;129200.0
Fonctionnement;6171;INSTITUTO CERVANTES;38872316500048;Personne morale de droit privé;13950.0
Fonctionnement;6637;CHORALE POPULAIRE DE TOULOUSE;40341271100034;Personne morale de droit privé;900.0
Fonctionnement;6741;CINEMA ABC;77691890600012;Personne morale de droit privé;34770.0
Fonctionnement;6810;ECOLE CITOYENNE;48041044800025;Personne morale de droit privé;12300.0
Fonctionnement;6836;ASSOCIATION OLYMPE DE GOUGES;77693923300016;Personne morale de droit privé;3144.0
Fonctionnement;7004;COCAGNE ACEPP 31;49802785300023;Personne morale de droit privé;3500.0
Fonctionnement;7368;CONTRE COURANT;51394506300016;Personne morale de droit privé;7000.0
Fonctionnement;7399;COQUELICOT TOULOUSE GYMNASTIQUE;40032333300031;Personne morale de droit privé;40000.0
Fonctionnement;7456;THEATRE CORNET A DES;32614274200047;Personne morale de droit privé;5760.0
Fonctionnement;7664;PETIT COWBOY ASSOC;44217874500026;Personne morale de droit privé;27040.0
Fonctionnement;7728;CREATURE ASSOC;38098761000066;Personne morale de droit privé;8600.0
Fonctionnement;7785;MOUVEMENT LE CRI SECTION 31 ASSOC;50212041300013;Personne morale de droit privé;400.0
Fonctionnement;8256;ASEER ASS SOCIO EDUCATIVE EMPALOT RANGUEIL ASSOC;31833616100035;Personne morale de droit privé;39000.0
Fonctionnement;8902;MAISON DU DIABETE ET DE LA NUTRITION TOULOUSE OCCITANIE;42318470400025;Personne morale de droit privé;950.0
Fonctionnement;9274;MAISON DES DROITS DE L ENFANT ASSOC;39945352100037;Personne morale de droit privé;8000.0
Fonctionnement;9423;COMPAGNIE NELSON DUMONT;33195350500046;Personne morale de droit privé;36910.0
Fonctionnement;9606;CLUB ECHECS INTERNATIONAL DE TOULOUSE CAISSA;39128752100044;Personne morale de droit privé;500.0
Fonctionnement;9952;EMETTEUR COMPAGNIE;49934206100029;Personne morale de droit privé;4300.0
Fonctionnement;9996;ENFANFARE ASSOC;50070265900029;Personne morale de droit privé;330536.0
Fonctionnement;10030;ENSEMBLE VOCAL A BOUT DE SOUFFLE;49761945200038;Personne morale de droit privé;4000.0
Fonctionnement;10227;CENTRE TOULOUSAIN DOC ESPAGNOL ASSOC;51429750600016;Personne morale de droit privé;2500.0
Fonctionnement;10662;PARTAGE FAOURETTE ASSOC;39854810700042;Personne morale de droit privé;114420.0
Fonctionnement;10829;COMITE FETES DU GRAND FENETRA;52011940500014;Personne morale de droit privé;24300.0
Fonctionnement;11070;FITE FESTIVAL INTERNATIONAL THEATRE ENFANTS ET JEUNES;39938598800015;Personne morale de droit privé;12960.0
Fonctionnement;11160;FNACA  ANCIENS  COMBATTANTS ALGERIE MAROC TUNISIE;31131597200043;Personne morale de droit privé;2015.05
Fonctionnement;11165;FNATH HTE GARONNE GRPT DEP ATH HTE GARONNE;77695095800038;Personne morale de droit privé;2000.0
Fonctionnement;11217;TOULOUSE FONTAINES CLUB ASSOC;43411053200018;Personne morale de droit privé;115000.0
Fonctionnement;11254;FOOTBALL CLUB TOAC TOEC RUGBY;44302926900026;Personne morale de droit privé;111000.0
Fonctionnement;11872;LA GARGOUILLE ASSOC;44285581300014;Personne morale de droit privé;36800.0
