nomBeneficiaire,type
PIXIENCE,"Activités spécialisées, scientifiques et techniques diverses"
POLE DE COMPETITIVITE EQUESTRE DE LA METROPOLE TOULOUSAINE ASSOC,NA
RESEAU COCAGNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SELEXEL,Recherche-développement en biotechnologie
SEQUENCE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SYND MIXTE CONSERVATOIRE BOTANIQUE PYRENEEN,Gestion des jardins botaniques et zoologiques et des réserves naturelles
TERRITOIRES DE CIRQUE ASSOC,Autres organisations fonctionnant par adhésion volontaire
TOULOUSE LE MARATHON DU LIVRE ASSOC,"Organisation de foires, salons professionnels et congrès"
ARESO ASSOC,NA
BAJO EL MAR ASSOC,Arts du spectacle vivant
COMITE LOCAL LOGEMENT AUTONOME DES JEUNES,Action sociale sans hébergement n.c.a.
CROQUEURS DE CAROTTES ASSOC,Autres organisations fonctionnant par adhésion volontaire
DERBI,NA
ECOLE D INGENIEURS DE PURPAN ASSOC,Enseignement supérieur
FRIENDISES SAS,Pâtisserie
HERBES FRAICHES ET FOLLES EN VILLE ASSOC,Autres organisations fonctionnant par adhésion volontaire
LES ECO LIES ASSOC,Autres organisations fonctionnant par adhésion volontaire
POPATEX ASSOC,Arts du spectacle vivant
ROULE MA FRITE 31 ASSOC,Entretien et réparation de véhicules automobiles légers
SPECTAMBUL ASSOC,Autres organisations fonctionnant par adhésion volontaire
SYNDICAT APICULTEURS MIDI PYRENEES,Activités des organisations professionnelles
AIRBUS GROUP SAS,Activités des sièges sociaux
ANDES ASS NAT DEVELOP EPICERIES SOLIDAIRES ASSOC,Autres organisations fonctionnant par adhésion volontaire
CRL CENTRE REGIONAL DES LETTRES ASSOC,Autres organisations fonctionnant par adhésion volontaire
CROUS CENTRE REGIONAL OEUVRES UNIVERSITAIRES SCOLAIRES,Action sociale sans hébergement n.c.a.
ECOLE NATIONALE VETERINAIRE,Enseignement supérieur
FONDATION JJ LAFFONT,Recherche-développement en sciences humaines et sociales
FRANCE NATURE ENVIRONNEMENT ASSOC,Autres organisations fonctionnant par adhésion volontaire
PETANIELLE ASSOC,NA
RECYCLO BAT,Collecte des déchets non dangereux
